      Star               S/N  Teff   err  logg  errR  errA [Fe/H] errR  errA  micro errR  errA     ab(C)  errR  errA  [C/Fe]  errR  errA   N N3    ab(Mg)  errR  errA [Mg/Fe]  errR  errA   N N3    ab(Al)  errR  errA [Al/Fe]  errR  errA   N N3    ab(Ca)  errR  errA [Ca/Fe]  errR  errA   N N3    ab(Sc)  errR  errA [Sc/Fe]  errR  errA   N N3    ab(Ti)  errR  errA [Ti/Fe]  errR  errA   N N3     ab(V)  errR  errA  [V/Fe]  errR  errA   N N3    ab(Cr)  errR  errA [Cr/Fe]  errR  errA   N N3    ab(Mn)  errR  errA [Mn/Fe]  errR  errA   N N3    ab(Fe)  errR  errA [Fe/Fe]  errR  errA   N N3    ab(Co)  errR  errA [Co/Fe]  errR  errA   N N3    ab(Ni)  errR  errA [Ni/Fe]  errR  errA   N N3    ab(Zn)  errR  errA [Zn/Fe]  errR  errA   N N3    ab(Sr)  errR  errA [Sr/Fe]  errR  errA   N N3     ab(Y)  errR  errA  [Y/Fe]  errR  errA   N N3    ab(Zr)  errR  errA [Zr/Fe]  errR  errA   N N3    ab(Ba)  errR  errA [Ba/Fe]  errR  errA   N N3    ab(La)  errR  errA [La/Fe]  errR  errA   N N3    ab(Ce)  errR  errA [Ce/Fe]  errR  errA   N N3    ab(Nd)  errR  errA [Nd/Fe]  errR  errA   N N3    ab(Sm)  errR  errA [Sm/Fe]  errR  errA   N N3    ab(Eu)  errR  errA [Eu/Fe]  errR  errA   N N3
        HE1210-1956       50  5790   100  3.30  0.27  0.37 -2.57  0.13  0.18  1.52  0.14  0.24      6.04  0.21  0.26    0.22  0.19  0.28   1  1      5.42  0.12  0.18    0.41  0.15  0.23   7  4      2.94  0.14  0.22   -0.96  0.16  0.25   1  1      4.32  0.11  0.20    0.53  0.15  0.25   9  7      0.56  0.18  0.23   -0.04  0.16  0.24   5  2      2.78  0.16  0.22    0.33  0.15  0.23  17  9     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.92  0.16  0.21   -0.18  0.15  0.23   3  3      2.15  0.16  0.20   -0.68  0.15  0.23   5  2      4.93  0.13  0.18    0.00  0.14  0.22  55 41      2.40  0.15  0.21    0.05  0.15  0.25   6  3      3.43  0.16  0.21   -0.25  0.15  0.22   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.44  0.23  0.32    0.04  0.20  0.31   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.86  0.19  0.23   -0.43  0.16  0.25   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE1212-0127       30  4915   100  1.85  0.26  0.36 -2.15  0.13  0.19  1.87  0.14  0.24      5.85  0.20  0.26   -0.39  0.18  0.27   1  1      5.55  0.12  0.19    0.13  0.15  0.24   7  5      3.77  0.23  0.30   -0.54  0.24  0.31   1  1      4.35  0.12  0.21    0.15  0.15  0.25   9  8      0.95  0.15  0.22   -0.07  0.16  0.24   5  5      2.91  0.18  0.24    0.05  0.16  0.25  17 15     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.19  0.20  0.33   -0.33  0.21  0.31   3  3      2.82  0.15  0.20   -0.42  0.15  0.24   5  3      5.34  0.13  0.19    0.00  0.14  0.22  55 54      2.65  0.17  0.24   -0.11  0.16  0.25   6  6      3.53  0.26  0.34   -0.56  0.24  0.32   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.62  0.19  0.26   -0.20  0.18  0.26   3  2     -0.23  0.17  0.22   -0.31  0.16  0.26   6  3      0.56  0.19  0.23    0.11  0.17  0.27   3  1     -0.34  0.27  0.35   -0.32  0.27  0.34   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -1.30  0.18  0.23    0.35  0.16  0.27   4  3
        HE1214-1819       53  4916   100  1.88  0.26  0.36 -3.01  0.12  0.18  1.74  0.13  0.23      5.74  0.20  0.26    0.35  0.19  0.28   1  1      4.96  0.12  0.19    0.39  0.15  0.24   7  5      2.73  0.19  0.27   -0.74  0.20  0.29   1  1      3.70  0.12  0.20    0.34  0.15  0.25   9  8      0.33  0.18  0.23    0.16  0.16  0.25   5  4      2.30  0.16  0.21    0.28  0.15  0.23  17 15     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.35  0.17  0.24   -0.32  0.16  0.24   3  3      1.71  0.17  0.21   -0.68  0.16  0.23   5  3      4.50  0.12  0.18    0.00  0.14  0.22  55 47      2.13  0.16  0.22    0.22  0.15  0.24   6  5      3.46  0.19  0.28    0.21  0.18  0.27   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.23  0.17  0.29    0.27  0.18  0.29   3  2     -0.65  0.19  0.23    0.11  0.16  0.25   6  3     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.92  0.22  0.28   -0.04  0.19  0.27   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -2.00  0.19  0.23    0.49  0.16  0.26   4  1
        HE1215+0149       35  5098   100  2.37  0.27  0.37 -2.90  0.13  0.19  1.48  0.14  0.24      5.65  0.20  0.26    0.15  0.19  0.28   1  1      5.03  0.12  0.19    0.35  0.16  0.24   7  6      3.10  0.20  0.28   -0.47  0.21  0.29   1  1      3.74  0.12  0.20    0.27  0.15  0.25   9  5      0.33  0.18  0.23    0.06  0.16  0.26   5  4      2.48  0.17  0.22    0.36  0.16  0.24  17 12     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.27  0.18  0.24   -0.51  0.17  0.24   3  2      1.77  0.17  0.22   -0.72  0.16  0.24   5  3      4.60  0.13  0.19    0.00  0.14  0.22  55 42      2.25  0.16  0.22    0.23  0.16  0.25   6  5      3.50  0.22  0.30    0.15  0.20  0.27   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.36  0.20  0.30    0.29  0.19  0.29   3  2     -0.71  0.20  0.24   -0.05  0.18  0.26   6  2     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -1.53  0.20  0.24   -0.76  0.18  0.26   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE1217-0540       45  5700   100  4.20  0.27  0.37 -2.95  0.12  0.18  1.41  0.17  0.27      6.26  0.17  0.24    0.81  0.17  0.26   1  1      5.06  0.12  0.18    0.42  0.15  0.24   7  1      2.82  0.14  0.22   -0.71  0.16  0.25   1  1      3.67  0.12  0.20    0.25  0.15  0.25   9  3      0.24  0.18  0.23    0.01  0.18  0.28   5  1      2.34  0.16  0.22    0.27  0.17  0.27  17  5     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.55  0.16  0.20   -0.18  0.16  0.23   3  3      1.82  0.16  0.21   -0.62  0.16  0.25   5  3      4.56  0.12  0.18    0.00  0.14  0.22  54 30      2.27  0.16  0.22    0.30  0.16  0.26   6  2      3.21  0.16  0.20   -0.09  0.16  0.23   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.16  0.20  0.28    0.13  0.20  0.29   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE1219-0312       46  5140   100  2.40  0.26  0.36 -2.81  0.12  0.18  1.54  0.13  0.23      5.51  0.19  0.26   -0.08  0.19  0.28   1  1      4.82  0.11  0.19    0.04  0.16  0.24   7  4      2.56  0.17  0.24   -1.11  0.17  0.26   1  1      3.53  0.11  0.20   -0.03  0.15  0.25   9  6      0.31  0.18  0.23   -0.07  0.17  0.25   5  4      2.21  0.16  0.21   -0.01  0.15  0.24  17  9     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.35  0.16  0.23   -0.52  0.16  0.24   3  3      2.10  0.25  0.42   -0.49  0.32  0.44   5  3      4.70  0.12  0.18    0.00  0.14  0.22  55 44      2.14  0.16  0.22    0.02  0.16  0.25   6  4      3.41  0.19  0.26   -0.05  0.18  0.26   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.38  0.18  0.27    0.20  0.18  0.27   3  2     -0.27  0.19  0.24    0.29  0.17  0.26   6  4      0.45  0.19  0.23    0.65  0.17  0.26   3  1     -0.16  0.29  0.35    0.51  0.25  0.33   2  1     -0.72  0.18  0.23    0.91  0.17  0.26   6  4     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -0.31  0.19  0.23    0.98  0.17  0.26   9  2     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -0.87  0.19  0.23    1.41  0.17  0.26   4  3
        HE1221-0522       44  5789   100  4.04  0.28  0.38 -2.84  0.12  0.17  1.29  0.17  0.27      6.08  0.18  0.24    0.53  0.17  0.26   1  1      5.19  0.11  0.18    0.45  0.15  0.23   7  2      2.96  0.15  0.23   -0.67  0.16  0.26   1  1      3.99  0.11  0.20    0.47  0.15  0.25   9  5      0.47  0.18  0.24    0.14  0.18  0.27   5  1      2.49  0.16  0.21    0.31  0.16  0.25  17  4     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.61  0.15  0.20   -0.22  0.15  0.23   3  3      1.98  0.16  0.20   -0.57  0.16  0.24   5  3      4.66  0.12  0.17    0.00  0.14  0.22  55 32      2.41  0.16  0.22    0.32  0.16  0.25   6  2      3.45  0.16  0.21    0.04  0.16  0.24   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -0.32  0.20  0.27   -0.46  0.19  0.29   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE1221-1948       57  6083   100  3.81  0.28  0.38 -3.36  0.13  0.18  1.65  0.15  0.25      6.46  0.22  0.28    1.42  0.22  0.31   1  1      5.02  0.13  0.19    0.80  0.15  0.24   7  1      2.39  0.14  0.21   -0.72  0.16  0.25   1  1      3.81  0.12  0.20    0.81  0.15  0.25   9  3      0.10  0.18  0.23    0.29  0.17  0.26   5  1      2.19  0.16  0.22    0.52  0.16  0.25  17  5     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.12  0.14  0.19   -0.19  0.15  0.23   3  1     -9.99  0.00  0.00   -9.99  0.00  0.00   5  0      4.14  0.13  0.18    0.00  0.14  0.22  55 18     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0      2.79  0.15  0.19   -0.10  0.16  0.23   4  1     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE1222-0200       45  5288   100  2.72  0.26  0.36 -2.45  0.13  0.19  1.50  0.14  0.24      6.18  0.19  0.25    0.23  0.18  0.27   1  1      5.31  0.12  0.18    0.17  0.15  0.24   7  5     -9.99  0.00  0.00   -9.99  0.00  0.00   0  0      4.20  0.12  0.20    0.29  0.14  0.24   9  8      0.68  0.18  0.24   -0.04  0.16  0.26   5  4      2.71  0.17  0.22    0.14  0.15  0.24  17 14      1.99  0.16  0.20    0.43  0.15  0.24   3  3      3.36  0.18  0.28    0.13  0.17  0.26   3  3      2.54  0.14  0.26   -0.41  0.19  0.28   5  3      5.06  0.13  0.19    0.00  0.14  0.22  55 47      2.78  0.16  0.22    0.31  0.15  0.24   6  6      3.92  0.19  0.29    0.12  0.18  0.27   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.40  0.20  0.31   -0.13  0.19  0.30   3  2     -0.42  0.19  0.24   -0.22  0.17  0.26   6  2      0.79  0.18  0.23    0.64  0.17  0.26   3  1     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -1.34  0.19  0.23    0.60  0.16  0.26   4  1
        HE1222-0336       46  6052   100  3.96  0.25  0.35 -2.04  0.11  0.17  1.30  0.14  0.24      6.57  0.15  0.23    0.22  0.16  0.26   1  1      5.63  0.11  0.17    0.09  0.15  0.23   7  3      3.14  0.15  0.22   -1.28  0.16  0.25   1  1      4.58  0.11  0.20    0.26  0.15  0.25   9  8      1.15  0.17  0.23    0.02  0.17  0.26   5  2      3.27  0.16  0.21    0.29  0.16  0.24  17 10     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.48  0.16  0.23   -0.14  0.16  0.24   3  3      2.84  0.16  0.20   -0.51  0.16  0.24   5  3      5.46  0.11  0.17    0.00  0.14  0.22  55 45      2.79  0.15  0.21   -0.09  0.16  0.25   6  2      4.11  0.18  0.25   -0.10  0.19  0.26   4  2     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.60  0.20  0.29   -0.33  0.20  0.30   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.11  0.19  0.24   -0.20  0.18  0.26   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE1225+0155      100  4842   100  1.80  0.23  0.33 -2.75  0.12  0.18  1.85  0.11  0.21      5.90  0.20  0.26    0.26  0.19  0.28   1  1      5.30  0.12  0.18    0.46  0.15  0.23   7  6      3.18  0.12  0.24   -0.54  0.15  0.25   1  1      3.98  0.13  0.21    0.37  0.14  0.25   9  9      0.56  0.17  0.22    0.14  0.15  0.24   5  5      2.58  0.16  0.21    0.30  0.15  0.23  17 17      1.26  0.15  0.19    0.00  0.15  0.23   3  2      2.67  0.15  0.26   -0.25  0.15  0.25   3  3      2.17  0.14  0.21   -0.48  0.15  0.23   5  4      4.75  0.12  0.18    0.00  0.14  0.22  55 54      2.32  0.16  0.23    0.15  0.15  0.24   6  6      3.33  0.14  0.26   -0.18  0.15  0.26   4  4      2.11  0.13  0.20    0.26  0.14  0.25   2  2      0.30  0.17  0.26    0.07  0.16  0.26   3  2     -0.67  0.17  0.22   -0.17  0.15  0.24   6  6      0.16  0.17  0.22    0.30  0.15  0.24   3  2     -1.07  0.20  0.26   -0.45  0.17  0.25   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -1.99  0.18  0.23    0.25  0.15  0.25   4  3
        HE1225-0515       41  6210   100  3.81  0.27  0.37 -1.96  0.13  0.18  1.35  0.15  0.25      6.94  0.16  0.23    0.52  0.17  0.27   1  1      5.80  0.12  0.18    0.18  0.15  0.24   7  3      3.51  0.16  0.24   -1.00  0.18  0.26   1  1      4.67  0.11  0.20    0.27  0.15  0.25   9  8      1.22  0.17  0.23    0.02  0.16  0.25   5  3      3.40  0.15  0.21    0.34  0.15  0.23  17 10     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.62  0.17  0.23   -0.08  0.16  0.24   3  3      2.93  0.15  0.20   -0.50  0.15  0.23   5  3      5.54  0.13  0.18    0.00  0.14  0.22  55 44      3.01  0.15  0.21    0.05  0.15  0.25   6  3      4.12  0.18  0.24   -0.16  0.17  0.24   4  2     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.82  0.23  0.32   -0.18  0.21  0.31   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.12  0.19  0.24   -0.29  0.17  0.25   2  1      0.44  0.18  0.23    1.24  0.17  0.25   6  2     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE1230-1724       54  5952   100  3.98  0.24  0.34 -2.30  0.12  0.17  1.39  0.15  0.25      6.22  0.17  0.23    0.13  0.17  0.26   1  1      5.50  0.12  0.18    0.22  0.15  0.23   7  4      3.17  0.14  0.22   -1.00  0.16  0.25   1  1      4.36  0.11  0.20    0.30  0.14  0.24   9  8      0.86  0.18  0.23   -0.01  0.16  0.26   5  2      2.91  0.16  0.21    0.18  0.15  0.24  17  8     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.19  0.15  0.21   -0.19  0.16  0.23   3  3      2.42  0.16  0.20   -0.67  0.15  0.23   5  3      5.20  0.12  0.17    0.00  0.14  0.22  55 44      2.57  0.15  0.21   -0.05  0.15  0.25   6  2      3.72  0.20  0.24   -0.23  0.18  0.25   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   0  0      0.61  0.20  0.29   -0.07  0.19  0.29   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.34  0.18  0.23   -0.18  0.17  0.26   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE1237-3103       48  4851   100  1.72  0.26  0.36 -2.91  0.13  0.18  2.04  0.13  0.23      5.42  0.20  0.27   -0.06  0.18  0.28   1  1      4.88  0.12  0.18    0.21  0.15  0.23   7  6      2.72  0.16  0.26   -0.84  0.18  0.28   1  1      3.69  0.12  0.20    0.24  0.15  0.25   9  8      0.31  0.18  0.23    0.05  0.16  0.24   5  4      2.30  0.15  0.20    0.19  0.15  0.23  17 15     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.22  0.17  0.23   -0.54  0.16  0.24   3  3      2.13  0.19  0.26   -0.35  0.17  0.25   5  3      4.59  0.13  0.18    0.00  0.14  0.22  55 50      2.25  0.16  0.22    0.24  0.15  0.24   6  6      3.29  0.17  0.26   -0.05  0.17  0.26   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -0.13  0.23  0.33   -0.19  0.21  0.32   3  2     -1.01  0.18  0.23   -0.34  0.16  0.24   6  3     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -1.38  0.22  0.27   -0.60  0.19  0.27   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE1243-1425       50  5507   100  3.19  0.26  0.36 -2.67  0.12  0.18  1.11  0.15  0.25      6.23  0.18  0.25    0.51  0.18  0.27   1  1      5.13  0.12  0.18    0.22  0.15  0.24   7  2      2.74  0.16  0.23   -1.06  0.17  0.26   1  1      3.89  0.11  0.20    0.20  0.15  0.25   9  7      0.76  0.18  0.23    0.26  0.17  0.26   5  4      2.60  0.16  0.21    0.25  0.15  0.24  17  9     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.76  0.16  0.23   -0.25  0.16  0.24   3  3      1.83  0.16  0.20   -0.89  0.16  0.24   5  3      4.83  0.12  0.18    0.00  0.14  0.22  55 38      2.58  0.16  0.22    0.33  0.16  0.25   6  4      4.01  0.17  0.27    0.43  0.17  0.25   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.54  0.18  0.28    0.23  0.18  0.27   3  1     -0.14  0.19  0.24    0.28  0.18  0.27   6  1     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.94  0.20  0.24   -0.41  0.18  0.27   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE1245-1616       47  6191   100  4.04  0.32  0.42 -2.98  0.13  0.18  1.53  0.17  0.27      6.19  0.21  0.28    0.77  0.26  0.34   1  1     -9.99  0.00  0.00   -9.99  0.00  0.00   7  0     -9.99  0.00  0.00   -9.99  0.00  0.00   0  0      3.88  0.12  0.20    0.50  0.15  0.25   9  3      0.39  0.19  0.24    0.19  0.17  0.26   5  1      2.61  0.17  0.23    0.57  0.16  0.25  17  5     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.56  0.15  0.19   -0.13  0.15  0.23   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   5  0      4.53  0.13  0.18    0.00  0.14  0.22  55 20     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0      3.12  0.15  0.19   -0.15  0.16  0.23   4  1     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.26  0.22  0.30    0.26  0.20  0.29   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.56  0.19  0.24    0.28  0.17  0.26   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE1246-1344       49  4853   100  1.65  0.27  0.37 -3.40  0.14  0.19  1.84  0.13  0.23      4.93  0.20  0.27   -0.06  0.19  0.29   1  1      4.68  0.12  0.19    0.50  0.15  0.24   7  5      2.33  0.17  0.25   -0.74  0.18  0.27   1  1      3.35  0.12  0.20    0.39  0.15  0.25   9  6      0.12  0.18  0.22    0.35  0.15  0.23   5  4      1.87  0.16  0.21    0.25  0.15  0.23  17 11     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      1.82  0.16  0.21   -0.45  0.15  0.23   3  3      1.08  0.17  0.21   -0.91  0.16  0.23   5  3      4.10  0.14  0.19    0.00  0.14  0.22  55 39      1.64  0.15  0.22    0.12  0.15  0.24   6  3      2.84  0.17  0.23   -0.01  0.16  0.24   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -1.68  0.19  0.26   -1.25  0.17  0.26   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE1247-2114       54  5012   100  2.08  0.25  0.35 -2.61  0.12  0.18  1.67  0.12  0.22      6.10  0.19  0.26    0.32  0.18  0.28   1  1      5.21  0.11  0.19    0.25  0.15  0.24   7  7      2.89  0.16  0.25   -0.96  0.18  0.27   1  1      3.94  0.11  0.20    0.20  0.15  0.24   9  8      0.56  0.19  0.24    0.00  0.16  0.25   5  4      2.57  0.16  0.21    0.17  0.15  0.23  17 15      1.41  0.15  0.20    0.02  0.15  0.23   3  1      2.74  0.17  0.27   -0.32  0.17  0.26   3  3      2.36  0.15  0.21   -0.42  0.15  0.23   5  3      4.89  0.12  0.18    0.00  0.14  0.22  55 53      2.39  0.16  0.22    0.08  0.15  0.24   6  6      3.60  0.18  0.29   -0.04  0.18  0.29   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.72  0.14  0.22    0.37  0.15  0.24   3  2     -0.34  0.18  0.23    0.04  0.16  0.25   6  6      0.41  0.18  0.22    0.42  0.16  0.25   3  1     -0.91  0.22  0.28   -0.43  0.20  0.28   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -1.88  0.18  0.23    0.22  0.16  0.25   4  1
        HE1248-1800       43  5288   100  2.92  0.27  0.37 -2.89  0.14  0.19  1.47  0.14  0.24      6.02  0.19  0.25    0.53  0.17  0.27   1  1      4.95  0.11  0.20    0.27  0.16  0.25   7  4      2.87  0.18  0.26   -0.71  0.19  0.27   1  1      3.71  0.12  0.20    0.24  0.15  0.25   9  6      0.33  0.18  0.23    0.05  0.16  0.25   5  3      2.45  0.16  0.21    0.32  0.15  0.23  17 10     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.28  0.16  0.21   -0.50  0.15  0.22   3  3      1.83  0.17  0.21   -0.67  0.15  0.23   5  3      4.61  0.14  0.19    0.00  0.14  0.22  55 39      2.22  0.16  0.22    0.20  0.15  0.24   6  5      3.27  0.18  0.24   -0.09  0.16  0.23   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -0.18  0.23  0.33   -0.25  0.21  0.32   3  2     -0.85  0.19  0.24   -0.20  0.17  0.25   6  1     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.89  0.20  0.25   -0.12  0.17  0.25   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
